rental_ym,day_type,station_name,gender,age_group,total_rides,avg_distance_km,avg_duration_min,avg_speed_kmh,avg_exercise,avg_co2
202301,Weekend,"120. 신수동 사거리",M,40대,9,0,81,0,371.92,2.99
202302,Weekday,"2375. 수서역 1번출구 앞",M,20대,96,0,720.5,0,2620.8450000000003,20.79
202301,Weekend,"120. 신수동 사거리",M,50대,13,0,322,0,820.74,7.09
202302,Weekday,"2375. 수서역 1번출구 앞",M,30대,100,0,708.5,0,2924.5699999999997,24.14
202301,Weekend,"2237.서울남부터미널 대합실 입구",NULL,70대이상,2,0,30,0,42.42,0.37
202301,Weekend,"120. 신수동 사거리",M,60대,3,0,256,0,157.49,1.53
202302,Weekday,"2375. 수서역 1번출구 앞",M,40대,97,0,1497,0,5937.12,40.754999999999995
202301,Weekend,"120. 신수동 사거리",M,70대이상,1,0,125,0,0.95,0.01
202302,Weekday,"2375. 수서역 1번출구 앞",M,50대,33,0,378.5,0,1670.565,13.774999999999999
202301,Weekend,"120. 신수동 사거리",M,기타,4,0,42,0,241.81,1.54
202302,Weekday,"2375. 수서역 1번출구 앞",M,~10대,9,0,154,0,434.28999999999996,3.835
202302,Weekday,"2375. 수서역 1번출구 앞",M,기타,42,0,417,0,2244.085,19.835
202301,Weekend,"121. 마포소방서 앞",NULL,20대,32,0,171.5,0,665.49,5.88
202301,Weekend,"2237.서울남부터미널 대합실 입구",F,30대,10,0,203,0,483.67,4.41
202301,Weekend,"2237.서울남부터미널 대합실 입구",F,50대,3,0,55,0,81.89,0.86
202301,Weekend,"2237.서울남부터미널 대합실 입구",F,70대이상,1,0,3,0,10.81,0.1
202301,Weekend,"121. 마포소방서 앞",NULL,30대,20,0,107,0,398.745,3.7750000000000004
202301,Weekend,"2237.서울남부터미널 대합실 입구",F,~10대,5,0,27,0,29.06,0.3
202302,Weekday,"2375. 수서역 1번출구 앞",F,기타,5,0,204,0,674.65,6.09
202301,Weekend,"121. 마포소방서 앞",NULL,40대,12,0,25.666666666666668,0,88.43333333333334,0.7466666666666666
202301,Weekend,"121. 마포소방서 앞",NULL,50대,6,0,147,0,415.9,4.385
202301,Weekend,"121. 마포소방서 앞",NULL,~10대,1,0,7,0,34.85,0.26
202301,Weekend,"121. 마포소방서 앞",NULL,기타,2,0,67.5,0,152.38,1.375
202301,Weekend,"121. 마포소방서 앞",F,20대,13,0,103,0,277.525,2.75
202301,Weekend,"121. 마포소방서 앞",F,30대,21,0,252,0,793.3100000000001,7.11
202301,Weekend,"121. 마포소방서 앞",F,기타,4,0,45,0,84.17999999999999,0.885
202301,Weekend,"121. 마포소방서 앞",M,20대,24,0,126,0,427.875,3.655
202301,Weekend,"121. 마포소방서 앞",M,30대,48,0,368.5,0,1471.935,12.84
202301,Weekend,"121. 마포소방서 앞",M,40대,41,0,229.5,0,696.85,5.305
202301,Weekend,"121. 마포소방서 앞",M,~10대,7,0,503,0,1270.72,12.53
202301,Weekend,"121. 마포소방서 앞",NULL,60대,1,0,1,0,8.38,0.07
202301,Weekend,"121. 마포소방서 앞",F,50대,3,0,29,0,71.02,0.72
202301,Weekend,"121. 마포소방서 앞",M,50대,31,0,898,0,6293.79,46.67
202301,Weekend,"121. 마포소방서 앞",M,60대,27,0,1686,0,1102.87,10.7
202301,Weekend,"121. 마포소방서 앞",M,70대이상,15,0,757,0,3418.22,31.3
202301,Weekend,"121. 마포소방서 앞",M,기타,14,0,222,0,685.58,6.37
202301,Weekend,"122. 신성기사식당 앞",NULL,20대,52,0,1188.5,0,2177.25,20.224999999999998
202301,Weekend,"122. 신성기사식당 앞",F,20대,8,0,100.5,0,310.115,3.145
202301,Weekend,"122. 신성기사식당 앞",F,30대,46,0,451.5,0,1788.64,16.25
202301,Weekend,"122. 신성기사식당 앞",M,20대,68,0,417.5,0,1303.445,10.875
202301,Weekend,"122. 신성기사식당 앞",M,30대,12,0,89,0,291.90999999999997,2.255
202302,Weekday,"458. 광화문역 5번출구",M,40대,235,0,2612.5,0,10169.765,77.39
202301,Weekend,"122. 신성기사식당 앞",M,50대,12,0,174.5,0,417.97999999999996,3.485
202301,Weekend,"122. 신성기사식당 앞",M,~10대,4,0,56.5,0,39.620000000000005,0.38
202301,Weekend,"122. 신성기사식당 앞",M,기타,6,0,19.5,0,88.22,0.71
202302,Weekday,"458. 광화문역 5번출구",M,50대,144,0,1582,0,6246.285,52.970000000000006
202302,Weekday,"458. 광화문역 5번출구",M,60대,50,0,338,0,1223.855,10.799999999999999
202301,Weekend,"122. 신성기사식당 앞",NULL,30대,94,0,2174,0,5482.9,42.93
202301,Weekend,"122. 신성기사식당 앞",NULL,40대,19,0,402,0,1449.88,13.34
202302,Weekday,"458. 광화문역 5번출구",M,기타,37,0,475,0,1622.0249999999999,12.935
202301,Weekend,"122. 신성기사식당 앞",NULL,50대,17,0,167,0,527.4,4.26
202301,Weekend,"122. 신성기사식당 앞",NULL,60대,3,0,45,0,215.06,1.57
202301,Weekend,"122. 신성기사식당 앞",NULL,기타,2,0,62,0,217.82,2.13
202302,Weekday,"458. 광화문역 5번출구",NULL,60대,23,0,531,0,1612.97,13.45
